great_area,ano,qtde,color
Agrarian Sciences,1976,1,"#F65582"
Agrarian Sciences,1977,0,"#F65582"
Agrarian Sciences,1978,1,"#F65582"
Agrarian Sciences,1979,0,"#F65582"
Agrarian Sciences,1980,2,"#F65582"
Agrarian Sciences,1981,5,"#F65582"
Agrarian Sciences,1982,1,"#F65582"
Agrarian Sciences,1983,5,"#F65582"
Agrarian Sciences,1984,4,"#F65582"
Agrarian Sciences,1985,8,"#F65582"
Agrarian Sciences,1986,3,"#F65582"
Agrarian Sciences,1987,10,"#F65582"
Agrarian Sciences,1988,4,"#F65582"
Agrarian Sciences,1989,7,"#F65582"
Agrarian Sciences,1990,8,"#F65582"
Agrarian Sciences,1991,13,"#F65582"
Agrarian Sciences,1992,21,"#F65582"
Agrarian Sciences,1993,28,"#F65582"
Agrarian Sciences,1994,20,"#F65582"
Agrarian Sciences,1995,19,"#F65582"
Agrarian Sciences,1996,18,"#F65582"
Agrarian Sciences,1997,30,"#F65582"
Agrarian Sciences,1998,47,"#F65582"
Agrarian Sciences,1999,58,"#F65582"
Agrarian Sciences,2000,64,"#F65582"
Agrarian Sciences,2001,94,"#F65582"
Agrarian Sciences,2002,97,"#F65582"
Agrarian Sciences,2003,123,"#F65582"
Agrarian Sciences,2004,127,"#F65582"
Agrarian Sciences,2005,118,"#F65582"
Agrarian Sciences,2006,135,"#F65582"
Agrarian Sciences,2007,196,"#F65582"
Agrarian Sciences,2008,200,"#F65582"
Agrarian Sciences,2009,235,"#F65582"
Agrarian Sciences,2010,222,"#F65582"
Agrarian Sciences,2011,236,"#F65582"
Agrarian Sciences,2012,257,"#F65582"
Agrarian Sciences,2013,287,"#F65582"
Agrarian Sciences,2014,268,"#F65582"
Agrarian Sciences,2015,286,"#F65582"
Agrarian Sciences,2016,249,"#F65582"
Agrarian Sciences,2017,236,"#F65582"
Applied and Social Sciences,1968,1,"#F18818"
Applied and Social Sciences,1969,0,"#F18818"
Applied and Social Sciences,1970,1,"#F18818"
Applied and Social Sciences,1971,1,"#F18818"
Applied and Social Sciences,1972,1,"#F18818"
Applied and Social Sciences,1973,0,"#F18818"
Applied and Social Sciences,1974,1,"#F18818"
Applied and Social Sciences,1975,1,"#F18818"
Applied and Social Sciences,1976,2,"#F18818"
Applied and Social Sciences,1977,3,"#F18818"
Applied and Social Sciences,1978,4,"#F18818"
Applied and Social Sciences,1979,5,"#F18818"
Applied and Social Sciences,1980,7,"#F18818"
Applied and Social Sciences,1981,3,"#F18818"
Applied and Social Sciences,1982,6,"#F18818"
Applied and Social Sciences,1983,12,"#F18818"
Applied and Social Sciences,1984,16,"#F18818"
Applied and Social Sciences,1985,21,"#F18818"
Applied and Social Sciences,1986,29,"#F18818"
Applied and Social Sciences,1987,31,"#F18818"
Applied and Social Sciences,1988,14,"#F18818"
Applied and Social Sciences,1989,25,"#F18818"
Applied and Social Sciences,1990,26,"#F18818"
Applied and Social Sciences,1991,30,"#F18818"
Applied and Social Sciences,1992,44,"#F18818"
Applied and Social Sciences,1993,69,"#F18818"
Applied and Social Sciences,1994,78,"#F18818"
Applied and Social Sciences,1995,86,"#F18818"
Applied and Social Sciences,1996,110,"#F18818"
Applied and Social Sciences,1997,152,"#F18818"
Applied and Social Sciences,1998,162,"#F18818"
Applied and Social Sciences,1999,206,"#F18818"
Applied and Social Sciences,2000,263,"#F18818"
Applied and Social Sciences,2001,275,"#F18818"
Applied and Social Sciences,2002,285,"#F18818"
Applied and Social Sciences,2003,360,"#F18818"
Applied and Social Sciences,2004,421,"#F18818"
Applied and Social Sciences,2005,468,"#F18818"
Applied and Social Sciences,2006,484,"#F18818"
Applied and Social Sciences,2007,580,"#F18818"
Applied and Social Sciences,2008,675,"#F18818"
Applied and Social Sciences,2009,787,"#F18818"
Applied and Social Sciences,2010,809,"#F18818"
Applied and Social Sciences,2011,940,"#F18818"
Applied and Social Sciences,2012,1092,"#F18818"
Applied and Social Sciences,2013,1063,"#F18818"
Applied and Social Sciences,2014,1132,"#F18818"
Applied and Social Sciences,2015,1167,"#F18818"
Applied and Social Sciences,2016,1229,"#F18818"
Applied and Social Sciences,2017,970,"#F18818"
Biological Sciences,1972,1,"#4D5048"
Biological Sciences,1973,0,"#4D5048"
Biological Sciences,1974,0,"#4D5048"
Biological Sciences,1975,0,"#4D5048"
Biological Sciences,1976,3,"#4D5048"
Biological Sciences,1977,1,"#4D5048"
Biological Sciences,1978,0,"#4D5048"
Biological Sciences,1979,3,"#4D5048"
Biological Sciences,1980,5,"#4D5048"
Biological Sciences,1981,8,"#4D5048"
Biological Sciences,1982,6,"#4D5048"
Biological Sciences,1983,10,"#4D5048"
Biological Sciences,1984,7,"#4D5048"
Biological Sciences,1985,13,"#4D5048"
Biological Sciences,1986,13,"#4D5048"
Biological Sciences,1987,20,"#4D5048"
Biological Sciences,1988,9,"#4D5048"
Biological Sciences,1989,20,"#4D5048"
Biological Sciences,1990,17,"#4D5048"
Biological Sciences,1991,25,"#4D5048"
Biological Sciences,1992,43,"#4D5048"
Biological Sciences,1993,50,"#4D5048"
Biological Sciences,1994,39,"#4D5048"
Biological Sciences,1995,46,"#4D5048"
Biological Sciences,1996,61,"#4D5048"
Biological Sciences,1997,72,"#4D5048"
Biological Sciences,1998,57,"#4D5048"
Biological Sciences,1999,96,"#4D5048"
Biological Sciences,2000,113,"#4D5048"
Biological Sciences,2001,148,"#4D5048"
Biological Sciences,2002,160,"#4D5048"
Biological Sciences,2003,211,"#4D5048"
Biological Sciences,2004,223,"#4D5048"
Biological Sciences,2005,239,"#4D5048"
Biological Sciences,2006,269,"#4D5048"
Biological Sciences,2007,329,"#4D5048"
Biological Sciences,2008,432,"#4D5048"
Biological Sciences,2009,416,"#4D5048"
Biological Sciences,2010,464,"#4D5048"
Biological Sciences,2011,517,"#4D5048"
Biological Sciences,2012,568,"#4D5048"
Biological Sciences,2013,607,"#4D5048"
Biological Sciences,2014,695,"#4D5048"
Biological Sciences,2015,624,"#4D5048"
Biological Sciences,2016,592,"#4D5048"
Biological Sciences,2017,538,"#4D5048"
Engineering,1974,1,"#3BBE90"
Engineering,1975,1,"#3BBE90"
Engineering,1976,1,"#3BBE90"
Engineering,1977,0,"#3BBE90"
Engineering,1978,0,"#3BBE90"
Engineering,1979,0,"#3BBE90"
Engineering,1980,1,"#3BBE90"
Engineering,1981,0,"#3BBE90"
Engineering,1982,1,"#3BBE90"
Engineering,1983,2,"#3BBE90"
Engineering,1984,4,"#3BBE90"
Engineering,1985,3,"#3BBE90"
Engineering,1986,1,"#3BBE90"
Engineering,1987,5,"#3BBE90"
Engineering,1988,5,"#3BBE90"
Engineering,1989,4,"#3BBE90"
Engineering,1990,5,"#3BBE90"
Engineering,1991,7,"#3BBE90"
Engineering,1992,10,"#3BBE90"
Engineering,1993,6,"#3BBE90"
Engineering,1994,6,"#3BBE90"
Engineering,1995,18,"#3BBE90"
Engineering,1996,19,"#3BBE90"
Engineering,1997,27,"#3BBE90"
Engineering,1998,38,"#3BBE90"
Engineering,1999,43,"#3BBE90"
Engineering,2000,44,"#3BBE90"
Engineering,2001,60,"#3BBE90"
Engineering,2002,56,"#3BBE90"
Engineering,2003,79,"#3BBE90"
Engineering,2004,101,"#3BBE90"
Engineering,2005,90,"#3BBE90"
Engineering,2006,117,"#3BBE90"
Engineering,2007,123,"#3BBE90"
Engineering,2008,150,"#3BBE90"
Engineering,2009,155,"#3BBE90"
Engineering,2010,183,"#3BBE90"
Engineering,2011,211,"#3BBE90"
Engineering,2012,282,"#3BBE90"
Engineering,2013,267,"#3BBE90"
Engineering,2014,261,"#3BBE90"
Engineering,2015,227,"#3BBE90"
Engineering,2016,245,"#3BBE90"
Engineering,2017,222,"#3BBE90"
Exact and Earth Sciences,1968,1,"#3FC0FF"
Exact and Earth Sciences,1969,0,"#3FC0FF"
Exact and Earth Sciences,1970,0,"#3FC0FF"
Exact and Earth Sciences,1971,0,"#3FC0FF"
Exact and Earth Sciences,1972,0,"#3FC0FF"
Exact and Earth Sciences,1973,2,"#3FC0FF"
Exact and Earth Sciences,1974,0,"#3FC0FF"
Exact and Earth Sciences,1975,1,"#3FC0FF"
Exact and Earth Sciences,1976,4,"#3FC0FF"
Exact and Earth Sciences,1977,3,"#3FC0FF"
Exact and Earth Sciences,1978,1,"#3FC0FF"
Exact and Earth Sciences,1979,2,"#3FC0FF"
Exact and Earth Sciences,1980,3,"#3FC0FF"
Exact and Earth Sciences,1981,5,"#3FC0FF"
Exact and Earth Sciences,1982,6,"#3FC0FF"
Exact and Earth Sciences,1983,4,"#3FC0FF"
Exact and Earth Sciences,1984,5,"#3FC0FF"
Exact and Earth Sciences,1985,12,"#3FC0FF"
Exact and Earth Sciences,1986,9,"#3FC0FF"
Exact and Earth Sciences,1987,16,"#3FC0FF"
Exact and Earth Sciences,1988,16,"#3FC0FF"
Exact and Earth Sciences,1989,16,"#3FC0FF"
Exact and Earth Sciences,1990,19,"#3FC0FF"
Exact and Earth Sciences,1991,28,"#3FC0FF"
Exact and Earth Sciences,1992,28,"#3FC0FF"
Exact and Earth Sciences,1993,30,"#3FC0FF"
Exact and Earth Sciences,1994,43,"#3FC0FF"
Exact and Earth Sciences,1995,59,"#3FC0FF"
Exact and Earth Sciences,1996,64,"#3FC0FF"
Exact and Earth Sciences,1997,80,"#3FC0FF"
Exact and Earth Sciences,1998,110,"#3FC0FF"
Exact and Earth Sciences,1999,123,"#3FC0FF"
Exact and Earth Sciences,2000,125,"#3FC0FF"
Exact and Earth Sciences,2001,157,"#3FC0FF"
Exact and Earth Sciences,2002,210,"#3FC0FF"
Exact and Earth Sciences,2003,228,"#3FC0FF"
Exact and Earth Sciences,2004,288,"#3FC0FF"
Exact and Earth Sciences,2005,309,"#3FC0FF"
Exact and Earth Sciences,2006,313,"#3FC0FF"
Exact and Earth Sciences,2007,426,"#3FC0FF"
Exact and Earth Sciences,2008,435,"#3FC0FF"
Exact and Earth Sciences,2009,597,"#3FC0FF"
Exact and Earth Sciences,2010,556,"#3FC0FF"
Exact and Earth Sciences,2011,690,"#3FC0FF"
Exact and Earth Sciences,2012,833,"#3FC0FF"
Exact and Earth Sciences,2013,877,"#3FC0FF"
Exact and Earth Sciences,2014,903,"#3FC0FF"
Exact and Earth Sciences,2015,869,"#3FC0FF"
Exact and Earth Sciences,2016,996,"#3FC0FF"
Exact and Earth Sciences,2017,875,"#3FC0FF"
Health Sciences,1971,1,"#DD87FB"
Health Sciences,1972,0,"#DD87FB"
Health Sciences,1973,1,"#DD87FB"
Health Sciences,1974,0,"#DD87FB"
Health Sciences,1975,0,"#DD87FB"
Health Sciences,1976,1,"#DD87FB"
Health Sciences,1977,2,"#DD87FB"
Health Sciences,1978,2,"#DD87FB"
Health Sciences,1979,2,"#DD87FB"
Health Sciences,1980,7,"#DD87FB"
Health Sciences,1981,5,"#DD87FB"
Health Sciences,1982,8,"#DD87FB"
Health Sciences,1983,4,"#DD87FB"
Health Sciences,1984,18,"#DD87FB"
Health Sciences,1985,23,"#DD87FB"
Health Sciences,1986,15,"#DD87FB"
Health Sciences,1987,28,"#DD87FB"
