great_area,ano,qtde,color
Agrarian Sciences,1973,1,"#F65582"
Agrarian Sciences,1974,0,"#F65582"
Agrarian Sciences,1975,2,"#F65582"
Agrarian Sciences,1976,0,"#F65582"
Agrarian Sciences,1977,1,"#F65582"
Agrarian Sciences,1978,2,"#F65582"
Agrarian Sciences,1979,1,"#F65582"
Agrarian Sciences,1980,1,"#F65582"
Agrarian Sciences,1981,8,"#F65582"
Agrarian Sciences,1982,3,"#F65582"
Agrarian Sciences,1983,7,"#F65582"
Agrarian Sciences,1984,8,"#F65582"
Agrarian Sciences,1985,6,"#F65582"
Agrarian Sciences,1986,6,"#F65582"
Agrarian Sciences,1987,15,"#F65582"
Agrarian Sciences,1988,5,"#F65582"
Agrarian Sciences,1989,10,"#F65582"
Agrarian Sciences,1990,8,"#F65582"
Agrarian Sciences,1991,6,"#F65582"
Agrarian Sciences,1992,11,"#F65582"
Agrarian Sciences,1993,12,"#F65582"
Agrarian Sciences,1994,19,"#F65582"
Agrarian Sciences,1995,29,"#F65582"
Agrarian Sciences,1996,36,"#F65582"
Agrarian Sciences,1997,37,"#F65582"
Agrarian Sciences,1998,45,"#F65582"
Agrarian Sciences,1999,80,"#F65582"
Agrarian Sciences,2000,71,"#F65582"
Agrarian Sciences,2001,92,"#F65582"
Agrarian Sciences,2002,102,"#F65582"
Agrarian Sciences,2003,113,"#F65582"
Agrarian Sciences,2004,126,"#F65582"
Agrarian Sciences,2005,133,"#F65582"
Agrarian Sciences,2006,165,"#F65582"
Agrarian Sciences,2007,214,"#F65582"
Agrarian Sciences,2008,207,"#F65582"
Agrarian Sciences,2009,261,"#F65582"
Agrarian Sciences,2010,229,"#F65582"
Agrarian Sciences,2011,273,"#F65582"
Agrarian Sciences,2012,289,"#F65582"
Agrarian Sciences,2013,321,"#F65582"
Agrarian Sciences,2014,328,"#F65582"
Agrarian Sciences,2015,333,"#F65582"
Agrarian Sciences,2016,319,"#F65582"
Agrarian Sciences,2017,314,"#F65582"
Biological Sciences,1956,1,"#4D5048"
Biological Sciences,1957,0,"#4D5048"
Biological Sciences,1958,0,"#4D5048"
Biological Sciences,1959,0,"#4D5048"
Biological Sciences,1960,0,"#4D5048"
Biological Sciences,1961,0,"#4D5048"
Biological Sciences,1962,0,"#4D5048"
Biological Sciences,1963,0,"#4D5048"
Biological Sciences,1964,0,"#4D5048"
Biological Sciences,1965,0,"#4D5048"
Biological Sciences,1966,0,"#4D5048"
Biological Sciences,1967,0,"#4D5048"
Biological Sciences,1968,0,"#4D5048"
Biological Sciences,1969,0,"#4D5048"
Biological Sciences,1970,0,"#4D5048"
Biological Sciences,1971,0,"#4D5048"
Biological Sciences,1972,0,"#4D5048"
Biological Sciences,1973,0,"#4D5048"
Biological Sciences,1974,0,"#4D5048"
Biological Sciences,1975,1,"#4D5048"
Biological Sciences,1976,1,"#4D5048"
Biological Sciences,1977,2,"#4D5048"
Biological Sciences,1978,2,"#4D5048"
Biological Sciences,1979,3,"#4D5048"
Biological Sciences,1980,5,"#4D5048"
Biological Sciences,1981,4,"#4D5048"
Biological Sciences,1982,5,"#4D5048"
Biological Sciences,1983,4,"#4D5048"
Biological Sciences,1984,3,"#4D5048"
Biological Sciences,1985,2,"#4D5048"
Biological Sciences,1986,5,"#4D5048"
Biological Sciences,1987,6,"#4D5048"
Biological Sciences,1988,2,"#4D5048"
Biological Sciences,1989,8,"#4D5048"
Biological Sciences,1990,6,"#4D5048"
Biological Sciences,1991,8,"#4D5048"
Biological Sciences,1992,8,"#4D5048"
Biological Sciences,1993,11,"#4D5048"
Biological Sciences,1994,16,"#4D5048"
Biological Sciences,1995,14,"#4D5048"
Biological Sciences,1996,25,"#4D5048"
Biological Sciences,1997,23,"#4D5048"
Biological Sciences,1998,19,"#4D5048"
Biological Sciences,1999,31,"#4D5048"
Biological Sciences,2000,49,"#4D5048"
Biological Sciences,2001,54,"#4D5048"
Biological Sciences,2002,47,"#4D5048"
Biological Sciences,2003,80,"#4D5048"
Biological Sciences,2004,78,"#4D5048"
Biological Sciences,2005,77,"#4D5048"
Biological Sciences,2006,84,"#4D5048"
Biological Sciences,2007,100,"#4D5048"
Biological Sciences,2008,123,"#4D5048"
Biological Sciences,2009,128,"#4D5048"
Biological Sciences,2010,114,"#4D5048"
Biological Sciences,2011,146,"#4D5048"
Biological Sciences,2012,164,"#4D5048"
Biological Sciences,2013,183,"#4D5048"
Biological Sciences,2014,202,"#4D5048"
Biological Sciences,2015,206,"#4D5048"
Biological Sciences,2016,208,"#4D5048"
Biological Sciences,2017,206,"#4D5048"
Engineering,1978,1,"#3BBE90"
Engineering,1979,1,"#3BBE90"
Engineering,1980,1,"#3BBE90"
Engineering,1981,0,"#3BBE90"
Engineering,1982,3,"#3BBE90"
Engineering,1983,2,"#3BBE90"
Engineering,1984,5,"#3BBE90"
Engineering,1985,5,"#3BBE90"
Engineering,1986,4,"#3BBE90"
Engineering,1987,4,"#3BBE90"
Engineering,1988,6,"#3BBE90"
Engineering,1989,4,"#3BBE90"
Engineering,1990,10,"#3BBE90"
Engineering,1991,9,"#3BBE90"
Engineering,1992,13,"#3BBE90"
Engineering,1993,12,"#3BBE90"
Engineering,1994,16,"#3BBE90"
Engineering,1995,28,"#3BBE90"
Engineering,1996,32,"#3BBE90"
Engineering,1997,44,"#3BBE90"
Engineering,1998,55,"#3BBE90"
Engineering,1999,72,"#3BBE90"
Engineering,2000,84,"#3BBE90"
Engineering,2001,100,"#3BBE90"
Engineering,2002,116,"#3BBE90"
Engineering,2003,121,"#3BBE90"
Engineering,2004,160,"#3BBE90"
Engineering,2005,189,"#3BBE90"
Engineering,2006,223,"#3BBE90"
Engineering,2007,251,"#3BBE90"
Engineering,2008,340,"#3BBE90"
Engineering,2009,366,"#3BBE90"
Engineering,2010,407,"#3BBE90"
Engineering,2011,505,"#3BBE90"
Engineering,2012,636,"#3BBE90"
Engineering,2013,664,"#3BBE90"
Engineering,2014,739,"#3BBE90"
Engineering,2015,748,"#3BBE90"
Engineering,2016,665,"#3BBE90"
Engineering,2017,580,"#3BBE90"
Exact and Earth Sciences,1968,1,"#3FC0FF"
Exact and Earth Sciences,1969,0,"#3FC0FF"
Exact and Earth Sciences,1970,0,"#3FC0FF"
Exact and Earth Sciences,1971,0,"#3FC0FF"
Exact and Earth Sciences,1972,0,"#3FC0FF"
Exact and Earth Sciences,1973,1,"#3FC0FF"
Exact and Earth Sciences,1974,0,"#3FC0FF"
Exact and Earth Sciences,1975,0,"#3FC0FF"
Exact and Earth Sciences,1976,0,"#3FC0FF"
Exact and Earth Sciences,1977,1,"#3FC0FF"
Exact and Earth Sciences,1978,2,"#3FC0FF"
Exact and Earth Sciences,1979,2,"#3FC0FF"
Exact and Earth Sciences,1980,2,"#3FC0FF"
Exact and Earth Sciences,1981,3,"#3FC0FF"
Exact and Earth Sciences,1982,4,"#3FC0FF"
Exact and Earth Sciences,1983,1,"#3FC0FF"
Exact and Earth Sciences,1984,1,"#3FC0FF"
Exact and Earth Sciences,1985,4,"#3FC0FF"
Exact and Earth Sciences,1986,3,"#3FC0FF"
Exact and Earth Sciences,1987,5,"#3FC0FF"
Exact and Earth Sciences,1988,8,"#3FC0FF"
Exact and Earth Sciences,1989,12,"#3FC0FF"
Exact and Earth Sciences,1990,10,"#3FC0FF"
Exact and Earth Sciences,1991,5,"#3FC0FF"
Exact and Earth Sciences,1992,12,"#3FC0FF"
Exact and Earth Sciences,1993,17,"#3FC0FF"
Exact and Earth Sciences,1994,8,"#3FC0FF"
Exact and Earth Sciences,1995,17,"#3FC0FF"
Exact and Earth Sciences,1996,28,"#3FC0FF"
Exact and Earth Sciences,1997,47,"#3FC0FF"
Exact and Earth Sciences,1998,36,"#3FC0FF"
Exact and Earth Sciences,1999,55,"#3FC0FF"
Exact and Earth Sciences,2000,76,"#3FC0FF"
Exact and Earth Sciences,2001,61,"#3FC0FF"
Exact and Earth Sciences,2002,107,"#3FC0FF"
Exact and Earth Sciences,2003,102,"#3FC0FF"
Exact and Earth Sciences,2004,147,"#3FC0FF"
Exact and Earth Sciences,2005,149,"#3FC0FF"
Exact and Earth Sciences,2006,173,"#3FC0FF"
Exact and Earth Sciences,2007,217,"#3FC0FF"
Exact and Earth Sciences,2008,240,"#3FC0FF"
Exact and Earth Sciences,2009,231,"#3FC0FF"
Exact and Earth Sciences,2010,276,"#3FC0FF"
Exact and Earth Sciences,2011,338,"#3FC0FF"
Exact and Earth Sciences,2012,388,"#3FC0FF"
Exact and Earth Sciences,2013,455,"#3FC0FF"
Exact and Earth Sciences,2014,492,"#3FC0FF"
Exact and Earth Sciences,2015,520,"#3FC0FF"
Exact and Earth Sciences,2016,537,"#3FC0FF"
Exact and Earth Sciences,2017,471,"#3FC0FF"
Health Sciences,1972,1,"#DD87FB"
Health Sciences,1973,1,"#DD87FB"
Health Sciences,1974,0,"#DD87FB"
Health Sciences,1975,0,"#DD87FB"
Health Sciences,1976,0,"#DD87FB"
Health Sciences,1977,1,"#DD87FB"
Health Sciences,1978,0,"#DD87FB"
Health Sciences,1979,1,"#DD87FB"
Health Sciences,1980,0,"#DD87FB"
Health Sciences,1981,1,"#DD87FB"
Health Sciences,1982,1,"#DD87FB"
Health Sciences,1983,1,"#DD87FB"
Health Sciences,1984,4,"#DD87FB"
Health Sciences,1985,9,"#DD87FB"
Health Sciences,1986,4,"#DD87FB"
Health Sciences,1987,8,"#DD87FB"
Health Sciences,1988,4,"#DD87FB"
Health Sciences,1989,13,"#DD87FB"
Health Sciences,1990,8,"#DD87FB"
Health Sciences,1991,8,"#DD87FB"
Health Sciences,1992,10,"#DD87FB"
Health Sciences,1993,22,"#DD87FB"
Health Sciences,1994,25,"#DD87FB"
Health Sciences,1995,44,"#DD87FB"
Health Sciences,1996,50,"#DD87FB"
Health Sciences,1997,62,"#DD87FB"
Health Sciences,1998,76,"#DD87FB"
Health Sciences,1999,83,"#DD87FB"
Health Sciences,2000,123,"#DD87FB"
Health Sciences,2001,119,"#DD87FB"
Health Sciences,2002,142,"#DD87FB"
Health Sciences,2003,166,"#DD87FB"
Health Sciences,2004,188,"#DD87FB"
Health Sciences,2005,209,"#DD87FB"
Health Sciences,2006,218,"#DD87FB"
Health Sciences,2007,247,"#DD87FB"
Health Sciences,2008,269,"#DD87FB"
Health Sciences,2009,373,"#DD87FB"
Health Sciences,2010,343,"#DD87FB"
Health Sciences,2011,418,"#DD87FB"
Health Sciences,2012,459,"#DD87FB"
Health Sciences,2013,490,"#DD87FB"
Health Sciences,2014,531,"#DD87FB"
Health Sciences,2015,542,"#DD87FB"
Health Sciences,2016,510,"#DD87FB"
Health Sciences,2017,442,"#DD87FB"
Humanities,1968,1,"#74BF00"
Humanities,1969,0,"#74BF00"
Humanities,1970,1,"#74BF00"
Humanities,1971,1,"#74BF00"
Humanities,1972,1,"#74BF00"
Humanities,1973,0,"#74BF00"
Humanities,1974,1,"#74BF00"
Humanities,1975,1,"#74BF00"
Humanities,1976,2,"#74BF00"
Humanities,1977,3,"#74BF00"
Humanities,1978,4,"#74BF00"
Humanities,1979,5,"#74BF00"
Humanities,1980,7,"#74BF00"
Humanities,1981,3,"#74BF00"
Humanities,1982,6,"#74BF00"
Humanities,1983,12,"#74BF00"
Humanities,1984,16,"#74BF00"
Humanities,1985,21,"#74BF00"
Humanities,1986,29,"#74BF00"
Humanities,1987,31,"#74BF00"
Humanities,1988,14,"#74BF00"
Humanities,1989,25,"#74BF00"
Humanities,1990,26,"#74BF00"
Humanities,1991,30,"#74BF00"
Humanities,1992,44,"#74BF00"
Humanities,1993,69,"#74BF00"
Humanities,1994,78,"#74BF00"
Humanities,1995,86,"#74BF00"
Humanities,1996,110,"#74BF00"
Humanities,1997,152,"#74BF00"
Humanities,1998,162,"#74BF00"
Humanities,1999,206,"#74BF00"
Humanities,2000,263,"#74BF00"
Humanities,2001,275,"#74BF00"
Humanities,2002,285,"#74BF00"
Humanities,2003,360,"#74BF00"
Humanities,2004,421,"#74BF00"
Humanities,2005,468,"#74BF00"
Humanities,2006,484,"#74BF00"
Humanities,2007,580,"#74BF00"
Humanities,2008,675,"#74BF00"
Humanities,2009,787,"#74BF00"
Humanities,2010,809,"#74BF00"
Humanities,2011,940,"#74BF00"
Humanities,2012,1092,"#74BF00"
Humanities,2013,1063,"#74BF00"
Humanities,2014,1132,"#74BF00"
Humanities,2015,1167,"#74BF00"
Humanities,2016,1229,"#74BF00"
Humanities,2017,970,"#74BF00"
Linguistics Letters and Arts,1975,1,"#d1B7A9"
Linguistics Letters and Arts,1976,0,"#d1B7A9"
Linguistics Letters and Arts,1977,0,"#d1B7A9"
Linguistics Letters and Arts,1978,0,"#d1B7A9"
Linguistics Letters and Arts,1979,1,"#d1B7A9"
Linguistics Letters and Arts,1980,0,"#d1B7A9"
Linguistics Letters and Arts,1981,0,"#d1B7A9"
Linguistics Letters and Arts,1982,1,"#d1B7A9"
Linguistics Letters and Arts,1983,2,"#d1B7A9"
Linguistics Letters and Arts,1984,1,"#d1B7A9"
Linguistics Letters and Arts,1985,4,"#d1B7A9"
Linguistics Letters and Arts,1986,3,"#d1B7A9"
Linguistics Letters and Arts,1987,5,"#d1B7A9"
Linguistics Letters and Arts,1988,1,"#d1B7A9"
Linguistics Letters and Arts,1989,3,"#d1B7A9"
Linguistics Letters and Arts,1990,7,"#d1B7A9"
Linguistics Letters and Arts,1991,1,"#d1B7A9"
Linguistics Letters and Arts,1992,7,"#d1B7A9"
Linguistics Letters and Arts,1993,9,"#d1B7A9"
Linguistics Letters and Arts,1994,13,"#d1B7A9"
Linguistics Letters and Arts,1995,20,"#d1B7A9"
Linguistics Letters and Arts,1996,17,"#d1B7A9"
Linguistics Letters and Arts,1997,25,"#d1B7A9"
Linguistics Letters and Arts,1998,29,"#d1B7A9"
Linguistics Letters and Arts,1999,45,"#d1B7A9"
Linguistics Letters and Arts,2000,51,"#d1B7A9"
Linguistics Letters and Arts,2001,59,"#d1B7A9"
Linguistics Letters and Arts,2002,66,"#d1B7A9"
Linguistics Letters and Arts,2003,86,"#d1B7A9"
Linguistics Letters and Arts,2004,89,"#d1B7A9"
Linguistics Letters and Arts,2005,98,"#d1B7A9"
Linguistics Letters and Arts,2006,96,"#d1B7A9"
Linguistics Letters and Arts,2007,119,"#d1B7A9"
Linguistics Letters and Arts,2008,134,"#d1B7A9"
Linguistics Letters and Arts,2009,153,"#d1B7A9"
Linguistics Letters and Arts,2010,172,"#d1B7A9"
Linguistics Letters and Arts,2011,206,"#d1B7A9"
Linguistics Letters and Arts,2012,220,"#d1B7A9"
Linguistics Letters and Arts,2013,237,"#d1B7A9"
Linguistics Letters and Arts,2014,241,"#d1B7A9"
Linguistics Letters and Arts,2015,236,"#d1B7A9"
Linguistics Letters and Arts,2016,236,"#d1B7A9"
Linguistics Letters and Arts,2017,207,"#d1B7A9"
