great_area,ano,qtde,color
Agrarian Sciences,1959,1,"#F65582"
Agrarian Sciences,1960,0,"#F65582"
Agrarian Sciences,1961,0,"#F65582"
Agrarian Sciences,1962,2,"#F65582"
Agrarian Sciences,1963,2,"#F65582"
Agrarian Sciences,1964,0,"#F65582"
Agrarian Sciences,1965,1,"#F65582"
Agrarian Sciences,1966,4,"#F65582"
Agrarian Sciences,1967,1,"#F65582"
Agrarian Sciences,1968,2,"#F65582"
Agrarian Sciences,1969,1,"#F65582"
Agrarian Sciences,1970,9,"#F65582"
Agrarian Sciences,1971,8,"#F65582"
Agrarian Sciences,1972,11,"#F65582"
Agrarian Sciences,1973,12,"#F65582"
Agrarian Sciences,1974,8,"#F65582"
Agrarian Sciences,1975,17,"#F65582"
Agrarian Sciences,1976,20,"#F65582"
Agrarian Sciences,1977,28,"#F65582"
Agrarian Sciences,1978,21,"#F65582"
Agrarian Sciences,1979,36,"#F65582"
Agrarian Sciences,1980,43,"#F65582"
Agrarian Sciences,1981,46,"#F65582"
Agrarian Sciences,1982,80,"#F65582"
Agrarian Sciences,1983,66,"#F65582"
Agrarian Sciences,1984,73,"#F65582"
Agrarian Sciences,1985,84,"#F65582"
Agrarian Sciences,1986,96,"#F65582"
Agrarian Sciences,1987,102,"#F65582"
Agrarian Sciences,1988,125,"#F65582"
Agrarian Sciences,1989,140,"#F65582"
Agrarian Sciences,1990,138,"#F65582"
Agrarian Sciences,1991,182,"#F65582"
Agrarian Sciences,1992,220,"#F65582"
Agrarian Sciences,1993,257,"#F65582"
Agrarian Sciences,1994,296,"#F65582"
Agrarian Sciences,1995,428,"#F65582"
Agrarian Sciences,1996,427,"#F65582"
Agrarian Sciences,1997,555,"#F65582"
Agrarian Sciences,1998,635,"#F65582"
Agrarian Sciences,1999,809,"#F65582"
Agrarian Sciences,2000,1003,"#F65582"
Agrarian Sciences,2001,1174,"#F65582"
Agrarian Sciences,2002,1298,"#F65582"
Agrarian Sciences,2003,1585,"#F65582"
Agrarian Sciences,2004,1612,"#F65582"
Agrarian Sciences,2005,1895,"#F65582"
Agrarian Sciences,2006,1940,"#F65582"
Agrarian Sciences,2007,2472,"#F65582"
Agrarian Sciences,2008,2741,"#F65582"
Agrarian Sciences,2009,3086,"#F65582"
Agrarian Sciences,2010,3316,"#F65582"
Agrarian Sciences,2011,3782,"#F65582"
Agrarian Sciences,2012,4045,"#F65582"
Agrarian Sciences,2013,4428,"#F65582"
Agrarian Sciences,2014,4601,"#F65582"
Agrarian Sciences,2015,4465,"#F65582"
Agrarian Sciences,2016,4606,"#F65582"
Agrarian Sciences,2017,4439,"#F65582"
Applied and Social Sciences,1956,1,"#F88B16"
Applied and Social Sciences,1957,0,"#F88B16"
Applied and Social Sciences,1958,0,"#F88B16"
Applied and Social Sciences,1959,0,"#F88B16"
Applied and Social Sciences,1960,0,"#F88B16"
Applied and Social Sciences,1961,0,"#F88B16"
Applied and Social Sciences,1962,0,"#F88B16"
Applied and Social Sciences,1963,0,"#F88B16"
Applied and Social Sciences,1964,0,"#F88B16"
Applied and Social Sciences,1965,0,"#F88B16"
Applied and Social Sciences,1966,0,"#F88B16"
Applied and Social Sciences,1967,0,"#F88B16"
Applied and Social Sciences,1968,0,"#F88B16"
Applied and Social Sciences,1969,0,"#F88B16"
