great_area,ano,qtde,color
Agrarian Sciences,1971,1,"#F65582"
Agrarian Sciences,1972,0,"#F65582"
Agrarian Sciences,1973,2,"#F65582"
Agrarian Sciences,1974,4,"#F65582"
Agrarian Sciences,1975,3,"#F65582"
Agrarian Sciences,1976,2,"#F65582"
Agrarian Sciences,1977,2,"#F65582"
Agrarian Sciences,1978,4,"#F65582"
Agrarian Sciences,1979,2,"#F65582"
Agrarian Sciences,1980,5,"#F65582"
Agrarian Sciences,1981,12,"#F65582"
Agrarian Sciences,1982,9,"#F65582"
Agrarian Sciences,1983,10,"#F65582"
Agrarian Sciences,1984,10,"#F65582"
Agrarian Sciences,1985,14,"#F65582"
Agrarian Sciences,1986,21,"#F65582"
Agrarian Sciences,1987,20,"#F65582"
Agrarian Sciences,1988,17,"#F65582"
Agrarian Sciences,1989,31,"#F65582"
Agrarian Sciences,1990,35,"#F65582"
Agrarian Sciences,1991,31,"#F65582"
Agrarian Sciences,1992,39,"#F65582"
Agrarian Sciences,1993,30,"#F65582"
Agrarian Sciences,1994,51,"#F65582"
Agrarian Sciences,1995,66,"#F65582"
Agrarian Sciences,1996,80,"#F65582"
Agrarian Sciences,1997,101,"#F65582"
Agrarian Sciences,1998,117,"#F65582"
Agrarian Sciences,1999,170,"#F65582"
Agrarian Sciences,2000,186,"#F65582"
Agrarian Sciences,2001,249,"#F65582"
Agrarian Sciences,2002,264,"#F65582"
Agrarian Sciences,2003,370,"#F65582"
Agrarian Sciences,2004,409,"#F65582"
Agrarian Sciences,2005,466,"#F65582"
Agrarian Sciences,2006,495,"#F65582"
Agrarian Sciences,2007,612,"#F65582"
Agrarian Sciences,2008,671,"#F65582"
Agrarian Sciences,2009,773,"#F65582"
Agrarian Sciences,2010,783,"#F65582"
Agrarian Sciences,2011,973,"#F65582"
Agrarian Sciences,2012,1109,"#F65582"
Agrarian Sciences,2013,1192,"#F65582"
Agrarian Sciences,2014,1184,"#F65582"
Agrarian Sciences,2015,1227,"#F65582"
Agrarian Sciences,2016,1193,"#F65582"
Agrarian Sciences,2017,1137,"#F65582"
Applied and Social Sciences,1972,1,"#F88B16"
Applied and Social Sciences,1973,1,"#F88B16"
Applied and Social Sciences,1974,0,"#F88B16"
Applied and Social Sciences,1975,0,"#F88B16"
Applied and Social Sciences,1976,0,"#F88B16"
Applied and Social Sciences,1977,1,"#F88B16"
Applied and Social Sciences,1978,0,"#F88B16"
Applied and Social Sciences,1979,1,"#F88B16"
Applied and Social Sciences,1980,0,"#F88B16"
Applied and Social Sciences,1981,1,"#F88B16"
Applied and Social Sciences,1982,1,"#F88B16"
Applied and Social Sciences,1983,1,"#F88B16"
Applied and Social Sciences,1984,4,"#F88B16"
Applied and Social Sciences,1985,9,"#F88B16"
Applied and Social Sciences,1986,4,"#F88B16"
Applied and Social Sciences,1987,8,"#F88B16"
Applied and Social Sciences,1988,4,"#F88B16"
Applied and Social Sciences,1989,13,"#F88B16"
Applied and Social Sciences,1990,8,"#F88B16"
Applied and Social Sciences,1991,8,"#F88B16"
Applied and Social Sciences,1992,10,"#F88B16"
Applied and Social Sciences,1993,22,"#F88B16"
Applied and Social Sciences,1994,25,"#F88B16"
Applied and Social Sciences,1995,44,"#F88B16"
Applied and Social Sciences,1996,50,"#F88B16"
Applied and Social Sciences,1997,62,"#F88B16"
Applied and Social Sciences,1998,76,"#F88B16"
Applied and Social Sciences,1999,83,"#F88B16"
Applied and Social Sciences,2000,123,"#F88B16"
Applied and Social Sciences,2001,119,"#F88B16"
Applied and Social Sciences,2002,142,"#F88B16"
Applied and Social Sciences,2003,166,"#F88B16"
Applied and Social Sciences,2004,188,"#F88B16"
Applied and Social Sciences,2005,209,"#F88B16"
Applied and Social Sciences,2006,218,"#F88B16"
Applied and Social Sciences,2007,247,"#F88B16"
Applied and Social Sciences,2008,269,"#F88B16"
Applied and Social Sciences,2009,373,"#F88B16"
Applied and Social Sciences,2010,343,"#F88B16"
Applied and Social Sciences,2011,418,"#F88B16"
Applied and Social Sciences,2012,459,"#F88B16"
Applied and Social Sciences,2013,490,"#F88B16"
Applied and Social Sciences,2014,531,"#F88B16"
Applied and Social Sciences,2015,542,"#F88B16"
Applied and Social Sciences,2016,510,"#F88B16"
Applied and Social Sciences,2017,442,"#F88B16"
Biological Sciences,1959,1,"#4D5048"
Biological Sciences,1960,1,"#4D5048"
Biological Sciences,1961,1,"#4D5048"
Biological Sciences,1962,1,"#4D5048"
Biological Sciences,1963,1,"#4D5048"
Biological Sciences,1964,2,"#4D5048"
Biological Sciences,1965,4,"#4D5048"
Biological Sciences,1966,1,"#4D5048"
Biological Sciences,1967,9,"#4D5048"
Biological Sciences,1968,8,"#4D5048"
Biological Sciences,1969,6,"#4D5048"
Biological Sciences,1970,11,"#4D5048"
Biological Sciences,1971,6,"#4D5048"
Biological Sciences,1972,15,"#4D5048"
Biological Sciences,1973,20,"#4D5048"
Biological Sciences,1974,25,"#4D5048"
Biological Sciences,1975,22,"#4D5048"
Biological Sciences,1976,38,"#4D5048"
Biological Sciences,1977,39,"#4D5048"
Biological Sciences,1978,43,"#4D5048"
Biological Sciences,1979,39,"#4D5048"
Biological Sciences,1980,83,"#4D5048"
Biological Sciences,1981,69,"#4D5048"
Biological Sciences,1982,88,"#4D5048"
Biological Sciences,1983,98,"#4D5048"
Biological Sciences,1984,90,"#4D5048"
Biological Sciences,1985,116,"#4D5048"
Biological Sciences,1986,168,"#4D5048"
Biological Sciences,1987,168,"#4D5048"
Biological Sciences,1988,211,"#4D5048"
Biological Sciences,1989,229,"#4D5048"
Biological Sciences,1990,248,"#4D5048"
Biological Sciences,1991,297,"#4D5048"
Biological Sciences,1992,374,"#4D5048"
Biological Sciences,1993,368,"#4D5048"
Biological Sciences,1994,476,"#4D5048"
Biological Sciences,1995,582,"#4D5048"
Biological Sciences,1996,674,"#4D5048"
Biological Sciences,1997,740,"#4D5048"
Biological Sciences,1998,936,"#4D5048"
Biological Sciences,1999,1117,"#4D5048"
Biological Sciences,2000,1347,"#4D5048"
Biological Sciences,2001,1459,"#4D5048"
Biological Sciences,2002,1827,"#4D5048"
Biological Sciences,2003,2056,"#4D5048"
Biological Sciences,2004,2383,"#4D5048"
Biological Sciences,2005,2688,"#4D5048"
Biological Sciences,2006,2997,"#4D5048"
Biological Sciences,2007,3401,"#4D5048"
Biological Sciences,2008,3946,"#4D5048"
Biological Sciences,2009,4296,"#4D5048"
Biological Sciences,2010,4754,"#4D5048"
Biological Sciences,2011,5180,"#4D5048"
Biological Sciences,2012,6001,"#4D5048"
Biological Sciences,2013,6257,"#4D5048"
Biological Sciences,2014,6346,"#4D5048"
Biological Sciences,2015,6282,"#4D5048"
Biological Sciences,2016,6219,"#4D5048"
Biological Sciences,2017,6233,"#4D5048"
Engineering,1976,1,"#3BBE90"
Engineering,1977,1,"#3BBE90"
Engineering,1978,0,"#3BBE90"
Engineering,1979,0,"#3BBE90"
Engineering,1980,1,"#3BBE90"
Engineering,1981,1,"#3BBE90"
Engineering,1982,1,"#3BBE90"
Engineering,1983,4,"#3BBE90"
Engineering,1984,2,"#3BBE90"
Engineering,1985,3,"#3BBE90"
Engineering,1986,5,"#3BBE90"
Engineering,1987,7,"#3BBE90"
Engineering,1988,6,"#3BBE90"
Engineering,1989,10,"#3BBE90"
Engineering,1990,18,"#3BBE90"
Engineering,1991,16,"#3BBE90"
Engineering,1992,15,"#3BBE90"
Engineering,1993,18,"#3BBE90"
Engineering,1994,22,"#3BBE90"
Engineering,1995,35,"#3BBE90"
Engineering,1996,41,"#3BBE90"
Engineering,1997,39,"#3BBE90"
Engineering,1998,69,"#3BBE90"
Engineering,1999,73,"#3BBE90"
Engineering,2000,98,"#3BBE90"
Engineering,2001,112,"#3BBE90"
Engineering,2002,165,"#3BBE90"
Engineering,2003,171,"#3BBE90"
Engineering,2004,240,"#3BBE90"
Engineering,2005,255,"#3BBE90"
Engineering,2006,350,"#3BBE90"
Engineering,2007,377,"#3BBE90"
Engineering,2008,501,"#3BBE90"
Engineering,2009,568,"#3BBE90"
Engineering,2010,588,"#3BBE90"
Engineering,2011,680,"#3BBE90"
Engineering,2012,739,"#3BBE90"
Engineering,2013,776,"#3BBE90"
Engineering,2014,694,"#3BBE90"
Engineering,2015,740,"#3BBE90"
Engineering,2016,741,"#3BBE90"
Engineering,2017,635,"#3BBE90"
Exact and Earth Sciences,1973,3,"#3FC0FF"
